"Neighborhood","Activated","Latitude","Longitude"
"Park Slope-Gowanus",2017-06-01,40.6807317996,-73.9774460905
"Midtown-Midtown South",2016-01-01,40.75529,-73.9874950005
"Astoria",2017-10-01,40.7565208602,-73.9252146106
"Upper West Side",2018-04-01,40.7906900002,-73.9744619998
"Murray Hill-Kips Bay",2016-03-01,40.7483832896,-73.9763442995
"Jamaica",2016-09-01,40.7059714299,-73.7937866001
"Gramercy",2017-07-01,40.7414809996,-73.9831980002
"Hamilton Heights",2016-01-01,40.8241309998,-73.9424640006
"Upper West Side",2017-08-01,40.7931808696,-73.9726485797
"Richmond Hill",2016-01-01,40.6950769996,-73.8228169995
"Clinton",2016-04-01,40.7554999999,-73.9914250005
"Central Harlem North-Polo Grounds",2016-01-01,40.8139300002,-73.9449549995
"North Side-South Side",2018-02-01,40.7176582282,-73.9603011562
"East New York",2016-01-01,40.675377,-73.8721059998
"Hudson Yards-Chelsea-Flatiron-Union Square",2018-05-01,40.7423220602,-73.9853807405
"Seagate-Coney Island",2016-01-01,40.5726749996,-73.9856179998
"Norwood",2016-01-01,40.8784449997,-73.8754800001
"Seagate-Coney Island",2016-01-01,40.5735509999,-73.9773659998
"Hunters Point-Sunnyside-West Maspeth",2018-04-01,40.7443204903,-73.9534837102
"Cypress Hills-City Line",2017-11-01,40.6840608397,-73.8705374096
"Central Harlem South",2016-01-01,40.8026839999,-73.9451580005
"Hamilton Heights",2017-09-01,40.8270435498,-73.9502261503
"Ozone Park",2016-01-01,40.6808618482,-73.8464887284
"Hamilton Heights",2016-01-01,40.8241309998,-73.9424640006
"Hunters Point-Sunnyside-West Maspeth",2016-01-01,40.7470624208,-73.9442436779
"Woodside",2017-01-01,40.7412880001,-73.9046559997
"Lenox Hill-Roosevelt Island",2018-05-01,40.7656654522,-73.9574087323
"Hudson Yards-Chelsea-Flatiron-Union Square",2016-01-01,40.7410399998,-73.9978709994
"Mott Haven-Port Morris",2016-01-01,40.81841,-73.9267179996
"Central Harlem South",2016-01-01,40.8037859998,-73.9461589995
"Washington Heights South",2016-07-01,40.8342453801,-73.9411590502
"Midtown-Midtown South",2017-07-01,40.7661480002,-73.9797210006
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",2018-03-01,40.6874572699,-73.9819201796
"Fordham South",2017-07-01,40.8620857697,-73.8995205706
"Mott Haven-Port Morris",2016-01-01,40.808719,-73.9076570006
"Gramercy",2016-07-01,40.736214,-73.9848999999
"West Village",2019-01-01,40.7382777799,-74.0056712102
"Central Harlem North-Polo Grounds",2016-01-01,40.8290024803,-73.9372792304
"Rego Park",2016-01-01,40.7316749998,-73.8656070003
"St. Albans",2016-01-01,40.687191,-73.7695589996
"Brooklyn Heights-Cobble Hill",2017-02-01,40.69934194,-73.9921867902
"park-cemetery-etc-Manhattan",2016-01-01,40.7029999997,-74.0167999996
"Murray Hill-Kips Bay",2018-03-01,40.7441540003,-73.9761899997
"Upper West Side",2017-11-01,40.7887050997,-73.97641054
"East Village",2016-01-01,40.7234019998,-73.989938
"park-cemetery-etc-Brooklyn",2016-01-01,40.6611970004,-73.9652520003
"Astoria",2017-10-01,40.765785254,-73.9191729969
"Mott Haven-Port Morris",2016-01-01,40.811544,-73.9141379999
"Battery Park City-Lower Manhattan",2016-01-01,40.7154881544,-74.0162138359
"SoHo-TriBeCa-Civic Center-Little Italy",2016-01-01,40.7147999999,-74.0028000002
"Lincoln Square",2017-10-01,40.7754432796,-73.9823668697
"Hudson Yards-Chelsea-Flatiron-Union Square",2016-04-01,40.7541399203,-73.99233961
"Bath Beach",2016-01-01,40.5975849999,-74.0011120005
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",2016-01-01,40.6936359997,-73.9883469996
"Queensbridge-Ravenswood-Long Island City",2018-03-01,40.7541882302,-73.9293986402
"Schuylerville-Throgs Neck-Edgewater Park",2016-01-01,40.8229035714,-73.8190936365
"Morningside Heights",2016-01-01,40.8111090001,-73.9523430005
"Jamaica",2016-01-01,40.702147,-73.8011089995
"Sunset Park West",2017-08-01,40.6621889998,-73.9960170003
"Old Town-Dongan Hills-South Beach",2016-01-01,40.5786309996,-74.0768009998
"Gramercy",2016-10-01,40.7329605004,-73.9861729396
"East Village",2017-04-01,40.7320389999,-73.9879380003
"Astoria",2017-06-01,40.7636860602,-73.9150512395
"Upper East Side-Carnegie Hill",2016-03-01,40.7678548897,-73.9622546401
"park-cemetery-etc-Queens",2016-01-01,40.729869,-73.7738410001
"Clinton",2018-03-01,40.7623284104,-73.9936423401
"Pelham Parkway",2016-01-01,40.8548777848,-73.8641435801
"Bensonhurst East",2016-01-01,40.5926531297,-73.9886820957
"Midtown-Midtown South",2018-10-01,40.74533995,-73.9827682499
"Bushwick North",2016-01-01,40.7066070001,-73.9229129996
"East Harlem South",2016-06-01,40.7922967001,-73.94398813
"North Side-South Side",2016-01-01,40.7200789997,-73.9495109998
"Fort Greene",2016-01-01,40.6893339998,-73.9819749997
"Midtown-Midtown South",2017-05-01,40.7586493104,-73.9751429701
"Central Harlem North-Polo Grounds",2016-01-01,40.8075940004,-73.939065
"Brooklyn Heights-Cobble Hill",2016-01-01,40.6947255403,-73.9942270995
"Central Harlem North-Polo Grounds",2016-10-01,40.8222148602,-73.9422346805
"Chinatown",2016-08-01,40.7199070697,-73.9940664903
"Clinton",2016-04-01,40.7643380004,-73.9847670002
"West Concourse",2016-01-01,40.8278309999,-73.9226770005
"West New Brighton-New Brighton-St. George",2016-01-01,40.6437820001,-74.1022450006
"East Harlem North",2016-01-01,40.7936690002,-73.9368160005
"Upper West Side",2016-11-01,40.7847119996,-73.9795639995
"Lenox Hill-Roosevelt Island",2018-03-01,40.7603599798,-73.9616631402
"East Harlem South",2016-03-01,40.7858176901,-73.9490312697
"Battery Park City-Lower Manhattan",2018-02-01,40.7039097998,-74.0090824103
"Bellerose",2016-01-01,40.739154,-73.7377180002
"Old Astoria",2018-01-01,40.7673067797,-73.92211147
"Murray Hill-Kips Bay",2017-08-01,40.7451423403,-73.9825063298
"West Village",2018-06-01,40.73598356,-73.9979901195
"Park Slope-Gowanus",2017-08-01,40.681596,-73.9770380003
"Brownsville",2016-01-01,40.6559,-73.9028500002
"East Tremont",2016-01-01,40.8416259997,-73.8929609999
"Astoria",2017-06-01,40.7630995,-73.9279352805
"Washington Heights North",2018-04-01,40.8506830002,-73.9328699994
"Clinton",2016-07-01,40.75993686,-73.9879722901
"Upper East Side-Carnegie Hill",2017-10-01,40.7660599997,-73.9635540005
"Upper East Side-Carnegie Hill",2016-03-01,40.7763660499,-73.9559307399
"Hudson Yards-Chelsea-Flatiron-Union Square",2016-01-01,40.7431000004,-73.9883000001
"Mount Hope",2018-01-01,40.8513290003,-73.9082660006
"Lincoln Square",2016-10-01,40.7742662798,-73.9809497094
"East Harlem South",2016-01-01,40.7906000001,-73.9474780003
"Woodhaven",2016-01-01,40.6870730002,-73.8531530003
"Crown Heights North",2017-04-01,40.6797519303,-73.9391010097
"Park Slope-Gowanus",2016-01-01,40.6682166933,-73.9834274329
"Central Harlem North-Polo Grounds",2016-01-01,40.8120370003,-73.946231
"Midtown-Midtown South",2018-02-01,40.7449331704,-73.9914723702
"Seagate-Coney Island",2016-01-01,40.5733840001,-73.9789369997
"Hamilton Heights",2016-08-01,40.8303356351,-73.943755973
"Upper West Side",2018-05-01,40.79237863,-73.96800953
"Midtown-Midtown South",2016-01-01,40.7522869999,-73.9933909997
"East New York",2018-01-01,40.6772216502,-73.8974635303
"Richmond Hill",2017-06-01,40.7009264299,-73.8262048802
"Elmhurst",2017-04-01,40.7341620004,-73.8736580003
"Clinton Hill",2017-03-01,40.6813152498,-73.9562012602
"Brooklyn Heights-Cobble Hill",2016-01-01,40.6969889996,-73.9974860003
"Hunters Point-Sunnyside-West Maspeth",2016-01-01,40.7419939997,-73.9612560003
"Elmhurst",2016-01-01,40.7288380002,-73.8837509996
"Morningside Heights",2016-10-01,40.8029842296,-73.9678553303
"Midtown-Midtown South",2018-04-01,40.7549509796,-73.9838986798
"Battery Park City-Lower Manhattan",2016-01-01,40.7047004998,-74.0089035
"Astoria",2017-05-01,40.7651601902,-73.93142777
"Gramercy",2016-11-01,40.7351870003,-73.9898710002
"Jackson Heights",2018-04-01,40.7494585504,-73.8864554498
"Hudson Yards-Chelsea-Flatiron-Union Square",2017-08-01,40.7362005797,-73.9936010197
"Midtown-Midtown South",2019-01-01,40.7512243202,-73.9905922004
"Clinton",2018-01-01,40.76826158,-73.9890433705
"Queensbridge-Ravenswood-Long Island City",2018-02-01,40.7537182203,-73.9322156401
"Central Harlem North-Polo Grounds",2016-01-01,40.8126809996,-73.9393569996
"Clinton",2016-01-01,40.7649346184,-73.9912208178
"East Harlem North",2016-01-01,40.7930999996,-73.9354000003
"West New Brighton-New Brighton-St. George",2016-01-01,40.6419629997,-74.1020260005
"Fort Greene",2016-01-01,40.6861130002,-73.9739459997
"Chinatown",2016-01-01,40.7102499999,-73.9979799999
"Jackson Heights",2017-08-01,40.7472234296,-73.888492
"Crown Heights North",2017-03-01,40.6782680804,-73.9497984494
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",2016-01-01,40.6955779998,-73.9839699996
"Murray Hill-Kips Bay",2016-06-01,40.7476720001,-73.9769650002
"Hudson Yards-Chelsea-Flatiron-Union Square",2016-01-01,40.7402745363,-74.0019750591
"Rosedale",2016-01-01,40.6599636231,-73.7399110132
"Hudson Yards-Chelsea-Flatiron-Union Square",2018-04-01,40.7393355798,-73.9952642404
"SoHo-TriBeCa-Civic Center-Little Italy",2016-01-01,40.7157269003,-74.0071850598
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",2016-01-01,40.6921780001,-73.9883039999
"Yorkville",2016-03-01,40.780782,-73.9524000005
"Turtle Bay-East Midtown",2018-04-01,40.75868871,-73.9655889096
"Central Harlem South",2016-01-01,40.8088430001,-73.9504950003
"Central Harlem South",2016-01-01,40.8035109996,-73.9529419999
"Prospect Lefferts Gardens-Wingate",2017-06-01,40.6624380004,-73.9506050003
"Astoria",2017-10-01,40.7610889998,-73.9233410004
"Ocean Hill",2018-01-01,40.6778615496,-73.9043006705
"Hudson Yards-Chelsea-Flatiron-Union Square",2016-01-01,40.7487578396,-74.0069037095
"Turtle Bay-East Midtown",2017-06-01,40.7526228501,-73.9732538494
"Chinatown",2016-12-01,40.7192149999,-73.9898500002
"Central Harlem North-Polo Grounds",2016-01-01,40.8141249998,-73.9469930003
"Hudson Yards-Chelsea-Flatiron-Union Square",2016-01-01,40.7441275609,-74.0050435071
"Upper East Side-Carnegie Hill",2016-03-01,40.7775279996,-73.9551530001
"SoHo-TriBeCa-Civic Center-Little Italy",2016-01-01,40.7208240001,-74.005229
"Murray Hill-Kips Bay",2016-01-01,40.7407749998,-73.9815760003
"Upper East Side-Carnegie Hill",2018-05-01,40.7807159311,-73.958721175
"Prospect Lefferts Gardens-Wingate",2016-01-01,40.6583100001,-73.9440599999
"Murray Hill-Kips Bay",2019-01-01,40.7406115598,-73.9790788503
"Sheepshead Bay-Gerritsen Beach-Manhattan Beach",2016-01-01,40.5768699999,-73.9445900006
"Central Harlem South",2016-11-01,40.8089964896,-73.9521491403
"Hunters Point-Sunnyside-West Maspeth",2017-03-01,40.7433122897,-73.9224012404
"Schuylerville-Throgs Neck-Edgewater Park",2016-01-01,40.8177319996,-73.8236799998
"Midtown-Midtown South",2016-07-01,40.7500920801,-73.9877917293
"Murray Hill-Kips Bay",2017-05-01,40.7508327297,-73.9768167294
"Hudson Yards-Chelsea-Flatiron-Union Square",2018-05-01,40.7430972996,-73.9928116002
"Upper West Side",2017-05-01,40.7903007904,-73.9729813495
"Gramercy",2017-05-01,40.73391885,-73.9868814305
"Governors Island",2016-01-01,40.6901300004,-74.0193399996
"Flatbush",2017-09-01,40.6452617002,-73.9581440801
"Upper West Side",2017-06-01,40.796138,-73.970931
"Hunters Point-Sunnyside-West Maspeth",2017-03-01,40.7422871697,-73.9533364696
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",2017-10-01,40.6894082198,-73.9887286998
"Georgetown-Marine Park-Bergen Beach-Mill Basin",2016-01-01,40.6060290001,-73.9284660004
"Upper West Side",2016-10-01,40.7963739998,-73.9685420003
"Upper West Side",2017-08-01,40.7865194849,-73.9777652896
"Soundview-Castle Hill-Clason Point-Harding Park",2016-01-01,40.8164360002,-73.8382920001
"Forest Hills",2016-11-01,40.7282989999,-73.8580760006
"Battery Park City-Lower Manhattan",2016-01-01,40.7064760002,-74.0110559999
"Jackson Heights",2018-06-01,40.7558349998,-73.881778
"Turtle Bay-East Midtown",2016-04-01,40.7585080601,-73.9689633006
"Flushing",2016-01-01,40.7596,-73.8300300003
"Hamilton Heights",2018-06-01,40.8297330597,-73.9442004197
"park-cemetery-etc-Brooklyn",2016-01-01,40.6719869996,-73.9643750004
"Great Kills",2016-01-01,40.5524232628,-74.1511116431
"Hudson Yards-Chelsea-Flatiron-Union Square",2016-05-01,40.7498274798,-73.99552538
"Hunters Point-Sunnyside-West Maspeth",2016-01-01,40.7408087817,-73.9216691603
"Crown Heights North",2016-11-01,40.6789599998,-73.9244239997
"Midtown-Midtown South",2016-12-01,40.7484820003,-73.9960119997
"Central Harlem South",2017-09-01,40.8066299401,-73.9502560898
"Hamilton Heights",2016-07-01,40.8223190004,-73.9536760001
"Hamilton Heights",2016-07-01,40.8305860002,-73.9471950001
"Fort Greene",2016-01-01,40.6906349998,-73.9818239995
"East Harlem North",2017-06-01,40.7995280001,-73.943527
"Hudson Yards-Chelsea-Flatiron-Union Square",2019-01-01,40.7378864504,-73.9966041004
"Battery Park City-Lower Manhattan",2016-01-01,40.7070006997,-74.0035019003
"Battery Park City-Lower Manhattan",2016-01-01,40.7043990997,-74.0101012997
"Melrose South-Mott Haven North",2017-10-01,40.8166922997,-73.9167190694
"Midtown-Midtown South",2016-04-01,40.7541709998,-73.9918709995
"Midtown-Midtown South",2017-06-01,40.7624669504,-73.9723575596
"Fordham South",2016-07-01,40.8606299996,-73.9023689997
"Lenox Hill-Roosevelt Island",2018-06-01,40.7612673501,-73.9606200397
"Windsor Terrace",2016-01-01,40.6487169711,-73.9767572777
"Woodside",2016-01-01,40.7528849997,-73.9060059998
"East Williamsburg",2018-04-01,40.7144457399,-73.9459483206
"Windsor Terrace",2016-01-01,40.6507820003,-73.9757760002
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",2017-01-01,40.6878136202,-73.9812839303
"SoHo-TriBeCa-Civic Center-Little Italy",2017-05-01,40.7181977604,-74.0000479997
"Central Harlem South",2016-12-01,40.8077790003,-73.9452530004
"Hunters Point-Sunnyside-West Maspeth",2017-04-01,40.7435549998,-73.9241560003
"Melrose South-Mott Haven North",2016-01-01,40.8206415647,-73.9046288601
"Carroll Gardens-Columbia Street-Red Hook",2016-01-01,40.6729689999,-74.0069149999
"Hudson Yards-Chelsea-Flatiron-Union Square",2018-06-01,40.7381085104,-73.9961531298
"Clinton",2016-04-01,40.7649329098,-73.9843334296
"Upper West Side",2016-05-01,40.7831909998,-73.9802530004
"Hunters Point-Sunnyside-West Maspeth",2018-05-01,40.7484970002,-73.9498550004
"Central Harlem North-Polo Grounds",2016-01-01,40.810178,-73.9489240003
"West Village",2016-01-01,40.7373350001,-73.9967859996
"Turtle Bay-East Midtown",2018-05-01,40.7518341599,-73.9705930597
"East Concourse-Concourse Village",2018-08-01,40.8357344401,-73.9139604204
"Upper West Side",2017-06-01,40.7977016599,-73.9692439318
"Governors Island",2016-01-01,40.6885499998,-74.0181199997
"Central Harlem South",2017-01-01,40.8056149998,-73.9505569995
"Norwood",2016-01-01,40.8768270004,-73.8787249995
"Morningside Heights",2016-09-01,40.8075079996,-73.9644880005
"Elmhurst",2017-09-01,40.7460455796,-73.8901212898
"Westerleigh",2016-01-01,40.6180639999,-74.1081859996
"Breezy Point-Belle Harbor-Rockaway Park-Broad Channel",2016-01-01,40.5828240003,-73.8175779995
"St. Albans",2016-01-01,40.687191,-73.7695589996
"Prospect Heights",2018-02-01,40.6727480001,-73.9626939995
"West New Brighton-New Brighton-St. George",2016-01-01,40.6417853679,-74.0766457652
"Midtown-Midtown South",2017-05-01,40.74671976,-73.9859357197
"East Tremont",2016-01-01,40.8397090001,-73.8874640004
"East Harlem North",2016-01-01,40.8059709999,-73.9405659999
"Mott Haven-Port Morris",2016-01-01,40.811544,-73.9141379999
"park-cemetery-etc-Brooklyn",2016-01-01,40.6507380002,-73.9684290006
"Bellerose",2016-01-01,40.7395470004,-73.7359200005
"Hudson Yards-Chelsea-Flatiron-Union Square",2017-09-01,40.7528042196,-74.0043127105
"Ocean Hill",2018-04-01,40.6782855904,-73.9121847599
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",2016-01-01,40.6950879997,-73.9876710001
"Kingsbridge Heights",2016-01-01,40.8631000001,-73.9065000005
"Fordham South",2016-06-01,40.8577559996,-73.9010909997
"Bay Ridge",2016-01-01,40.639278,-74.0320909998
"Murray Hill",2016-01-01,40.7695360002,-73.8059679998
"Far Rockaway-Bayswater",2016-01-01,40.5961969996,-73.7462619996
"Park Slope-Gowanus",2017-08-01,40.6665385801,-73.9883783202
"Washington Heights North",2018-03-01,40.8529172596,-73.9308273902
"Washington Heights North",2018-02-01,40.8524117299,-73.93133833
"Upper West Side",2016-07-01,40.7989539998,-73.9683259995
"Hamilton Heights",2018-04-01,40.8298089998,-73.9482010003
"Hunters Point-Sunnyside-West Maspeth",2016-01-01,40.7465540001,-73.9438320005
"Clinton",2016-04-01,40.7622461604,-73.9862930105
"Jackson Heights",2018-02-01,40.7490896695,-73.8718174082
"Midtown-Midtown South",2016-07-01,40.7606459996,-73.9844199996
"Manhattanville",2016-07-01,40.8183710003,-73.952755
"Seagate-Coney Island",2016-01-01,40.5733810002,-73.9788719999
"Rugby-Remsen Village",2016-01-01,40.6557102014,-73.9149383856
"West Concourse",2016-01-01,40.8256959997,-73.9273109998
"Astoria",2017-06-01,40.76191296,-73.9109386203
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",2016-01-01,40.6896330001,-73.9831650003
"Old Town-Dongan Hills-South Beach",2017-05-01,40.5798387882,-74.1000124032
"Midtown-Midtown South",2016-10-01,40.7666493204,-73.9793497005
"Hudson Yards-Chelsea-Flatiron-Union Square",2016-12-01,40.74349317,-73.9859719702
"Lower East Side",2016-01-01,40.7144564597,-73.9885372705
"Yorkville",2016-07-01,40.7832887698,-73.9505618001
"Pomonok-Flushing Heights-Hillcrest",2016-01-01,40.7330342416,-73.8098798843
"Bay Ridge",2016-01-01,40.6297420001,-74.0255099998
"Central Harlem North-Polo Grounds",2016-01-01,40.8121859998,-73.9479549997
"Van Nest-Morris Park-Westchester Square",2016-01-01,40.8445900004,-73.8598
"Governors Island",2016-01-01,40.6902299998,-74.0146499995
"North Side-South Side",2018-02-01,40.716849745,-73.9608407636
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",2016-01-01,40.6960269997,-73.9884560003
"Upper East Side-Carnegie Hill",2016-01-01,40.7681409996,-73.9638700004
"Washington Heights North",2018-02-01,40.8498544901,-73.9334733103
"Old Town-Dongan Hills-South Beach",2016-01-01,40.5723130001,-74.0860130002
"Turtle Bay-East Midtown",2018-04-01,40.7479662301,-73.9734053
"Park Slope-Gowanus",2017-07-01,40.6641759998,-73.9903530005
"West Village",2016-01-01,40.7300540003,-73.9910699998
"Forest Hills",2016-01-01,40.7183309998,-73.8373240005
"Central Harlem South",2017-09-01,40.805827,-73.9504070006
"Astoria",2017-08-01,40.7600949999,-73.9212160003
"Kew Gardens",2016-01-01,40.7091789996,-73.8205739999
"Lincoln Square",2016-05-01,40.7786068298,-73.9821781901
"Central Harlem South",2016-12-01,40.80918643,-73.9485913301
"Hunters Point-Sunnyside-West Maspeth",2017-03-01,40.7418457098,-73.9196896404
"New Dorp-Midland Beach",2017-02-01,40.5728504701,-74.1075388295
"Lenox Hill-Roosevelt Island",2018-05-01,40.7715263503,-73.9531379105
"East Flushing",2016-01-01,40.7499999997,-73.8050600003
"West Village",2018-04-01,40.7343925094,-73.9991515911
"East Flatbush-Farragut",2018-07-01,40.6515900001,-73.9321869996
"Richmond Hill",2017-06-01,40.6998949497,-73.8310976698
"New Dorp-Midland Beach",2017-03-01,40.5813039997,-74.1120102804
"Queensbridge-Ravenswood-Long Island City",2018-05-01,40.7557510001,-73.9451659997
"Turtle Bay-East Midtown",2016-02-01,40.7540920002,-73.9721800002
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",2016-01-01,40.6937210001,-73.9833279997
"Central Harlem North-Polo Grounds",2018-03-01,40.8170569901,-73.9460124099
"Bath Beach",2016-01-01,40.59815,-74.0011350002
"West Village",2016-01-01,40.729564,-74.0054619998
"Upper West Side",2016-12-01,40.7927028702,-73.9714873104
"Upper West Side",2016-11-01,40.7953990002,-73.9692539998
"Prospect Lefferts Gardens-Wingate",2017-03-01,40.6607317999,-73.9507266396
"Midtown-Midtown South",2016-01-01,40.7497190002,-73.9878229999
"Murray Hill-Kips Bay",2017-12-01,40.7417107404,-73.9779728296
"Mott Haven-Port Morris",2016-01-01,40.811544,-73.9141379999
"University Heights-Morris Heights",2016-01-01,40.8574218942,-73.9093163503
"Turtle Bay-East Midtown",2016-07-01,40.7509655202,-73.9741480605
"Governors Island",2016-01-01,40.6884600004,-74.0225500005
"West Concourse",2016-01-01,40.8337730002,-73.9184379998
"Mott Haven-Port Morris",2018-04-01,40.8121265904,-73.9205525
"Hudson Yards-Chelsea-Flatiron-Union Square",2018-05-01,40.7435997402,-74.0035878803
"Middle Village",2016-01-01,40.7210259999,-73.8779350001
"Turtle Bay-East Midtown",2016-02-01,40.7514057799,-73.9741424698
"park-cemetery-etc-Bronx",2016-01-01,40.8416000001,-73.9071000004
"West Village",2016-01-01,40.7318629998,-73.9977779999
"Sunset Park West",2016-01-01,40.645912124,-74.0136300012
"Midtown-Midtown South",2018-02-01,40.7464647798,-73.98371405
"Crown Heights North",2017-05-01,40.6788179999,-73.9495790005
